/* DATA DESCRIPTION:
Citation:	Rasmussen, Sune Olander; Vinther, Bo Møllesøe (2022): DYE-3 18C ice core detailed water isotope data [dataset]. PANGAEA, https://doi.org/10.1594/PANGAEA.942937
48.980	-30.39
49.064	-32.03
49.147	-31.70
49.231	-30.30
49.314	-28.79
49.398	-27.56
49.481	-28.39
49.565	-29.64
49.648	-30.28
49.731	-30.04
49.815	-29.01
49.898	-27.53
49.981	-26.62
50.064	-27.06
50.147	-28.72
50.230	-29.52
50.313	-28.44
50.396	-26.86
50.479	-25.98
50.562	-26.87
50.645	-29.31
50.727	-31.26
50.810	-30.57
50.893	-28.52
50.976	-26.18
51.058	-26.72
51.141	-28.69
51.223	-29.57
51.306	-28.83
51.388	-27.15
51.470	-25.36
51.553	-24.05
51.635	-23.99
51.718	-27.70
51.800	-30.57
51.882	-31.60
51.964	-30.78
52.046	-29.06
52.128	-27.44
52.210	-27.98
52.292	-28.67
52.374	-29.23
52.456	-29.24
52.538	-25.51
52.620	-26.04
52.701	-33.61
52.783	-32.76
52.865	-30.05
52.947	-27.72
53.029	-27.36
53.110	-29.22
53.191	-30.44
53.273	-30.67
53.354	-29.86
53.436	-28.39
53.517	-26.95
53.599	-27.79
53.680	-28.62
53.761	-29.66
53.842	-28.73
53.924	-27.25
54.005	-30.86
54.086	-32.23
54.167	-32.39
54.248	-31.49
54.329	-30.00
54.410	-28.16
54.491	-26.22
54.572	-25.08
54.653	-29.95
54.733	-30.10
54.814	-29.20
54.895	-27.87
54.976	-26.83
55.056	-26.37
55.137	-27.66
55.218	-29.06
55.298	-30.56
55.379	-31.09
55.459	-30.42
55.540	-28.95
55.620	-27.39
55.700	-27.58
55.781	-29.34
55.861	-31.23
55.941	-31.55
56.021	-30.26
56.102	-28.81
56.182	-27.62
56.262	-28.44
56.342	-30.20
56.422	-31.55
56.502	-31.08
56.582	-28.63
56.662	-26.72
56.742	-26.16
56.822	-26.46
56.902	-26.90
56.981	-27.71
57.061	-31.60
57.141	-33.39
57.220	-32.59
57.300	-31.08
57.380	-27.91
57.459	-27.10
57.539	-28.66
57.618	-31.11
57.698	-31.26
57.777	-30.75
57.856	-30.12
57.936	-29.05
58.015	-27.30
58.094	-26.09
58.174	-26.66
58.253	-28.37
58.332	-28.52
58.411	-27.14
58.490	-24.93
58.569	-24.57
58.648	-27.77
58.728	-27.64
58.807	-27.79
58.885	-28.02
58.964	-26.97
59.043	-25.59
59.122	-24.79
59.201	-27.12
59.280	-29.84
59.358	-29.57
59.437	-27.26
59.516	-24.18
59.594	-26.01
59.673	-27.70
59.752	-28.49
59.830	-28.29
59.909	-27.30
59.987	-26.22
60.066	-25.54
60.144	-27.55
60.222	-28.39
60.301	-26.65
60.379	-25.76
60.457	-23.04
60.536	-27.60
60.614	-29.04
60.692	-29.75
60.770	-27.39
60.848	-25.18
60.926	-26.23
61.004	-28.95
61.082	-30.80
61.160	-30.85
61.239	-29.65
61.317	-27.72
61.394	-26.14
61.472	-26.46
61.550	-26.41
61.628	-26.42
61.706	-28.93
61.783	-28.54
61.861	-28.06
61.939	-26.49
62.016	-27.30
62.094	-23.74
62.172	-25.02
62.249	-27.75
62.327	-28.86
62.404	-28.65
62.482	-28.09
62.559	-27.76
62.637	-28.40
62.714	-29.66
62.791	-29.62
62.868	-28.19
62.946	-27.24
63.023	-27.92
63.100	-28.59
63.178	-28.48
63.255	-27.72
63.332	-26.46
63.409	-27.69
63.486	-29.84
63.563	-30.25
63.640	-28.77
63.717	-27.81
63.794	-27.25
63.871	-28.33
63.948	-29.48
64.025	-29.68
64.101	-29.53
64.178	-29.12
64.255	-28.91
64.332	-29.65
64.409	-31.21
64.485	-31.88
64.562	-31.49
64.639	-30.37
64.715	-29.37
64.792	-29.25
64.868	-30.22
64.945	-32.32
65.022	-30.23
65.098	-28.18
65.174	-26.88
65.251	-26.61
65.327	-27.24
65.403	-28.79
65.480	-29.16
65.556	-28.20
65.632	-27.03
65.709	-27.15
65.785	-28.57
65.861	-31.04
65.937	-33.03
66.013	-31.43
66.089	-30.01
66.165	-28.47
66.242	-28.70
66.318	-29.87
66.393	-29.53
66.469	-27.67
66.545	-25.68
66.621	-26.86
66.697	-26.73
66.773	-27.31
66.849	-28.84
66.925	-29.61
67.000	-28.89
67.076	-28.23
67.152	-29.09
67.228	-29.50
67.303	-29.24
67.379	-28.72
67.455	-28.05
67.530	-28.06
67.606	-28.89
67.681	-30.19
67.757	-30.41
67.832	-29.66
67.908	-28.60
67.983	-28.10
68.059	-27.95
68.134	-28.58
68.209	-29.23
68.285	-30.53
68.360	-30.92
68.435	-30.47
68.510	-30.66
68.586	-31.10
68.661	-31.84
68.736	-32.32
68.811	-31.97
68.886	-30.43
68.961	-28.56
69.036	-27.63
69.111	-28.44
69.187	-29.86
69.262	-29.84
69.337	-29.34
69.411	-28.56
69.486	-27.57
69.561	-26.97
69.636	-26.95
69.711	-27.49
69.786	-28.41
69.861	-28.32
69.935	-27.71
70.010	-26.91
70.085	-26.31
70.159	-25.40
70.234	-25.67
70.309	-26.81
70.383	-27.56
70.458	-28.15
70.533	-28.64
70.607	-26.85
70.682	-27.74
70.756	-29.68
70.831	-30.27
70.905	-29.08
70.980	-27.60
71.054	-27.08
71.128	-28.07
71.203	-30.19
71.277	-31.19
71.351	-31.71
71.426	-31.25
71.500	-29.91
71.574	-28.49
71.648	-29.70
71.723	-30.53
71.797	-30.55
71.871	-30.22
71.945	-29.51
72.019	-29.04
72.093	-29.18
72.167	-29.43
72.241	-28.58
72.315	-27.40
72.389	-27.49
72.463	-28.46
72.537	-28.60
72.611	-28.06
72.685	-28.57
72.759	-29.46
72.833	-29.84
72.906	-30.58
72.980	-29.98
73.054	-26.72
73.128	-26.71
73.201	-29.46
73.275	-31.50
73.349	-31.26
73.423	-29.75
73.496	-28.33
73.570	-28.63
73.643	-33.46
73.717	-31.99
73.790	-30.24
73.864	-28.94
73.938	-27.91
74.011	-31.13
74.085	-32.36
74.158	-32.34
74.231	-30.94
74.305	-28.94
74.378	-28.04
74.452	-28.80
74.525	-30.11
74.598	-30.22
74.672	-29.57
74.745	-28.81
74.818	-28.57
74.891	-28.81
74.964	-29.28
75.038	-29.32
75.111	-27.85
75.184	-26.34
75.257	-24.94
75.330	-25.56
75.403	-30.85
75.476	-29.37
75.549	-27.84
75.622	-26.74
75.695	-26.44
75.768	-27.56
75.841	-28.59
75.914	-29.45
75.987	-28.59
76.060	-25.52
76.133	-26.10
76.206	-28.14
76.279	-30.32
76.351	-30.07
76.424	-28.31
76.497	-26.43
76.570	-25.98
76.642	-27.09
76.715	-28.12
76.788	-28.79
76.860	-28.70
76.933	-28.52
77.006	-27.75
77.078	-27.20
77.151	-26.43
77.223	-26.70
77.296	-28.44
77.368	-29.33
77.441	-28.35
77.514	-26.63
77.586	-25.06
77.658	-26.02
77.731	-28.22
77.803	-29.43
77.876	-29.91
77.948	-29.49
78.020	-28.47
78.093	-27.81
78.165	-27.92
78.237	-29.24
78.309	-28.35
78.382	-26.88
78.454	-25.75
78.526	-26.15
78.598	-27.40
78.671	-29.10
78.743	-29.68
78.815	-29.11
78.887	-28.15
78.959	-26.71
79.031	-26.85
79.103	-30.16
79.175	-29.48
79.247	-28.44
79.319	-27.28
79.391	-26.65
79.463	-26.11
79.535	-27.02
79.607	-28.18
79.679	-29.16
79.751	-29.57
79.823	-28.96
79.895	-27.27
79.966	-24.91
80.038	-24.63
80.110	-26.01
80.182	-29.52
80.253	-29.64
80.325	-29.07
80.397	-28.77
80.469	-29.66
80.540	-31.88
80.612	-31.96
80.684	-30.74
80.755	-28.80
80.827	-27.37
80.899	-26.95
80.970	-27.16
81.042	-27.88
81.113	-28.79
81.185	-29.42
81.256	-29.40
81.328	-28.70
81.399	-27.58
81.471	-27.05
81.542	-27.83
81.613	-29.15
81.685	-29.76
81.756	-29.17
81.828	-28.01
81.899	-26.57
81.970	-23.60
82.042	-28.74
82.113	-28.80
82.184	-28.37
82.255	-26.04
82.327	-23.42
82.398	-27.73
82.469	-26.45
82.540	-27.50
82.611	-30.03
82.683	-30.56
82.754	-29.86
82.825	-28.49
82.896	-26.95
82.967	-27.60
83.038	-28.89
83.109	-29.44
83.180	-28.45
83.251	-27.66
83.322	-27.41
83.393	-29.00
83.464	-30.18
83.535	-29.95
83.606	-28.85
83.677	-27.45
83.748	-26.48
83.819	-27.27
83.890	-28.31
83.960	-29.09
84.031	-29.27
84.102	-28.49
84.173	-27.73
84.244	-27.44
84.314	-27.54
84.385	-28.21
84.456	-29.92
84.527	-30.38
84.597	-29.84
84.668	-28.90
84.739	-29.36
84.809	-30.12
84.880	-29.58
84.951	-27.83
85.021	-26.55
85.092	-26.25
85.162	-27.21
85.233	-28.67
85.303	-29.24
85.374	-28.89
85.445	-28.49
85.515	-30.12
85.586	-31.89
85.656	-31.36
85.726	-30.42
85.797	-30.14
85.867	-29.98
85.938	-30.78
86.008	-31.01
86.079	-30.79
86.149	-30.18
86.219	-30.17
86.289	-29.44
86.360	-32.54
86.430	-33.06
86.500	-31.15
86.571	-28.68
86.641	-28.43
86.711	-29.85
86.781	-31.62
86.851	-31.60
86.922	-30.53
86.992	-29.40
87.062	-26.20
87.132	-28.76
87.202	-31.73
87.272	-33.07
87.342	-32.69
87.413	-31.25
87.483	-29.45
87.553	-27.62
87.623	-26.97
87.693	-27.55
87.763	-28.17
87.833	-28.00
87.903	-27.57
87.973	-27.42
88.043	-27.11
88.113	-26.85
88.182	-27.35
88.252	-27.76
88.322	-27.63
88.392	-29.00
88.462	-29.28
88.532	-28.63
88.602	-27.34
88.671	-26.89
88.741	-28.31
88.811	-29.76
88.881	-29.38
88.951	-27.94
89.020	-26.71
89.090	-27.03
89.160	-30.41
89.229	-30.57
89.299	-29.77
89.369	-28.42
89.439	-27.16
89.508	-26.10
89.578	-26.61
89.647	-27.80
89.717	-28.40
89.787	-28.88
89.856	-29.03
89.926	-28.52
89.995	-27.50
90.065	-26.63
90.134	-26.56
90.204	-28.60
90.273	-30.10
90.343	-30.70
90.412	-29.96
90.482	-28.55
90.551	-27.15
90.621	-25.55
90.690	-27.75
90.759	-30.46
90.829	-30.46
90.898	-31.37
90.967	-30.90
91.037	-26.37
91.106	-26.24
91.175	-26.32
91.245	-30.24
91.314	-32.66
91.383	-32.73
91.453	-30.85
91.522	-29.22
91.591	-28.43
91.660	-29.34
91.729	-30.62
91.799	-30.14
91.868	-28.67
91.937	-26.76
92.006	-27.49
92.075	-30.63
92.144	-32.03
92.214	-32.42
92.283	-31.42
92.352	-29.47
92.421	-27.00
92.490	-24.90
92.559	-32.29
92.628	-33.27
92.697	-32.23
92.766	-30.53
92.835	-26.80
92.904	-27.28
92.973	-27.46
93.042	-27.75
93.111	-28.64
93.180	-29.15
93.249	-28.92
93.318	-27.72
93.387	-26.34
93.455	-27.09
93.524	-28.59
93.593	-29.06
93.662	-28.67
93.731	-28.33
93.800	-28.15
93.868	-27.17
93.937	-26.35
94.006	-26.82
94.075	-29.01
94.143	-31.03
94.212	-31.82
94.281	-30.67
94.350	-29.72
94.418	-29.86
94.487	-31.24
94.556	-32.02
94.624	-31.25
94.693	-29.41
94.762	-27.84
94.830	-27.16
94.899	-28.02
94.968	-29.23
95.036	-29.51
95.105	-28.17
95.173	-26.39
95.242	-25.23
95.310	-25.21
95.379	-25.99
95.448	-27.36
95.516	-28.74
95.585	-28.87
95.653	-27.59
95.722	-26.00
95.790	-25.68
95.858	-27.16
95.927	-28.96
95.995	-29.70
96.064	-29.81
96.132	-29.14
96.201	-28.41
96.269	-27.50
96.337	-26.93
96.406	-26.98
96.474	-28.22
96.542	-29.97
96.611	-30.47
96.679	-29.72
96.747	-28.94
96.816	-29.21
96.884	-29.45
96.952	-29.27
97.020	-27.99
97.089	-27.01
97.157	-27.14
97.225	-28.92
97.293	-29.48
97.361	-28.94
97.430	-27.96
97.498	-27.24
97.566	-28.52
97.634	-30.40
97.702	-30.33
97.771	-29.68
97.839	-28.97
97.907	-28.16
97.975	-27.95
98.043	-28.82
98.111	-30.35
98.179	-30.28
98.247	-28.68
98.315	-25.76
98.383	-24.41
98.451	-27.90
98.519	-29.36
98.587	-30.12
98.655	-30.63
98.723	-28.95
98.791	-28.43
98.859	-26.95
98.927	-26.19
98.995	-26.39
99.063	-27.04
99.131	-26.81
99.199	-26.37
99.267	-26.23
99.335	-26.55
99.402	-26.81
99.470	-25.55
99.538	-26.18
99.606	-27.11
99.674	-28.46
99.742	-28.02
99.809	-25.46
99.877	-25.65
99.945	-26.92
100.013	-27.45
100.080	-27.50
100.148	-26.57
100.216	-25.02
100.284	-24.84
100.351	-26.14
100.419	-28.51
100.487	-28.55
100.554	-28.25
100.622	-27.47
100.690	-27.68
100.757	-27.29
100.825	-26.34
100.893	-28.41
100.960	-29.08
101.028	-28.72
101.096	-28.36
101.163	-27.32
101.231	-28.28
101.298	-30.63
101.366	-32.32
101.434	-32.60
101.501	-27.92
101.569	-26.42
101.636	-27.20
101.704	-29.03
101.771	-29.22
101.839	-29.08
101.906	-28.66
101.974	-26.94
102.041	-26.83
102.109	-28.48
102.176	-28.96
102.243	-28.49
102.311	-27.49
102.378	-26.76
102.446	-26.92
102.513	-27.15
102.580	-28.20
102.648	-28.61
102.715	-28.61
102.782	-28.50
102.850	-28.01
102.917	-28.34
102.984	-29.43
103.052	-30.18
103.119	-29.64
103.186	-28.52
103.254	-27.52
103.321	-26.97
103.388	-27.63
103.455	-28.65
103.523	-28.80
103.590	-28.00
103.657	-27.15
103.724	-26.15
103.792	-27.80
103.859	-28.24
103.926	-28.38
103.993	-28.43
104.060	-28.03
104.128	-27.43
104.195	-26.75
104.262	-25.69
104.329	-25.06
104.396	-27.20
104.463	-27.69
104.530	-27.83
104.597	-27.86
104.665	-27.02
104.732	-27.40
104.799	-29.34
104.866	-30.07
104.933	-30.59
105.000	-30.88
105.067	-29.63
105.134	-28.27
105.201	-26.65
105.268	-27.94
105.335	-29.36
105.402	-30.20
105.469	-30.06
105.536	-29.05
105.603	-27.91
105.670	-27.75
105.737	-28.74
105.804	-30.06
105.871	-30.86
105.937	-30.60
106.004	-28.77
106.071	-27.37
106.138	-27.60
106.205	-31.25
106.272	-30.24
106.339	-27.35
106.406	-25.80
106.472	-26.75
106.539	-29.50
106.606	-32.63
106.673	-32.06
106.740	-30.67
106.807	-27.90
106.873	-27.09
106.940	-28.11
107.007	-29.41
107.074	-29.94
107.140	-29.40
107.207	-28.63
107.274	-27.30
107.341	-26.87
107.407	-27.20
107.474	-27.50
107.541	-27.54
107.607	-28.40
107.674	-28.08
107.741	-27.33
107.807	-27.01
107.874	-28.65
107.941	-30.17
108.007	-30.40
108.074	-30.07
108.141	-29.17
108.207	-28.33
108.274	-26.77
108.340	-28.46
108.407	-28.74
108.474	-29.14
108.540	-29.04
108.607	-28.15
108.673	-26.94
108.740	-26.05
108.806	-25.74
108.873	-25.74
108.939	-25.11
109.006	-25.87
109.072	-27.29
109.139	-28.65
109.205	-29.44
109.272	-29.54
109.338	-28.40
109.405	-26.60
109.471	-26.50
109.538	-27.00
109.604	-28.04
109.671	-29.61
109.737	-30.26
109.803	-29.39
109.870	-28.37
109.936	-27.73
110.003	-28.23
110.069	-29.44
110.135	-29.62
110.202	-28.87
110.268	-29.45
110.334	-30.79
110.401	-32.29
110.467	-31.49
110.533	-30.09
110.600	-29.15
110.666	-29.14
110.732	-28.63
110.799	-26.69
110.865	-27.01
110.931	-26.85
110.998	-26.52
111.064	-28.35
111.130	-30.29
111.196	-30.65
111.263	-29.85
111.329	-28.83
111.395	-27.88
111.461	-28.35
111.527	-28.60
111.594	-28.38
111.660	-27.59
111.726	-27.01
111.792	-26.82
111.858	-27.40
111.924	-28.43
111.991	-28.49
112.057	-28.52
112.123	-29.48
112.189	-31.41
112.255	-32.93
112.321	-32.40
112.387	-30.53
112.453	-29.09
112.520	-28.09
112.586	-28.78
112.652	-30.15
112.718	-30.30
112.784	-29.09
112.850	-27.95
112.916	-28.22
112.982	-29.82
